раздел,счетоводен_ред,2021,2022,2023,2024,2025
Приходи и разходи,Приходи от продажби,,,,208704,292869
Приходи и разходи,Себестойност на продажбите,,,,-84277,-123715
Приходи и разходи,Брутна печалба,,,,124427,169154
Приходи и разходи,Други приходи от дейността,,,,4702,6790
Приходи и разходи,Разходи за продажби,,,,-36068,-40325
Приходи и разходи,Административни разходи,,,,-39718,-60995
Приходи и разходи,Други разходи за дейността,,,,-3074,-15285
Приходи и разходи,Печалба от оперативна дейност (EBIT),,,,50269,59339
Приходи и разходи,Финансови приходи,,,,20,1565
Приходи и разходи,Финансови разходи,,,,-139,-3854
Приходи и разходи,Дял от печалбата на асоциирани дружества,,,,-25,-42
Приходи и разходи,Печалба преди данъци (EBT),,,,50126,57008
Приходи и разходи,Разход за данъци,,,,-6261,-7178
Приходи и разходи,Нетна печалба от продължаващи дейности,,,,43865,49830
Приходи и разходи,Печалба от преустановени дейности,,,,1242,0
Приходи и разходи,Нетна печалба,,,,45107,49830
Приходи и разходи,Друг всеобхватен доход (OCI) — общо,,,,-1138,14207
Приходи и разходи,Общо всеобхватен доход,,,,43969,64037
Приходи и разходи,"Нетен доход на акция (EPS, лв.)",,,,2.49,2.75
Активи,"Имоти, машини и съоръжения",,,,2196,2231
Активи,Нематериални активи,,,,13358,19304
Активи,Активи с право на ползване,,,,10703,9992
Активи,Репутация,,,,3638,3638
Активи,Инвестиции в асоциирани дружества,,,,160,118
Активи,Активи по отсрочени данъци,,,,973,211
Активи,Общо нетекущи активи,,,,31028,35494
Активи,Материални запаси,,,,45558,38078
Активи,Търговски вземания,,,,68140,153861
Активи,Други вземания,,,,10989,9804
Активи,Пари и парични еквиваленти,,,,27353,26766
Активи,Общо текущи активи,,,,152040,228509
Активи,ОБЩО АКТИВИ,,,,183068,264003
Пасиви,Задължения по лизинг (дългосрочни),,,,9600,8833
Пасиви,Дългосрочни задължения към персонала,,,,327,489
Пасиви,Общо нетекущи пасиви,,,,9927,9322
Пасиви,Банкови заеми,,,,1586,6593
Пасиви,Задължения по лизинг (краткосрочни),,,,1333,1856
Пасиви,Търговски задължения,,,,7979,16875
Пасиви,Задължения към персонала и осигуряването,,,,2367,4312
Пасиви,Други задължения,,,,10841,16907
Пасиви,Общо текущи пасиви,,,,24106,46543
Пасиви,ОБЩО ПАСИВИ,,,,34033,55865
Собствен капитал,Регистриран акционерен капитал,,,,18106,18158
Собствен капитал,Неразпределена печалба,,,,123701,168056
Собствен капитал,Законови резерви,,,,1929,1909
Собствен капитал,Премиен резерв,,,,5403,5403
Собствен капитал,Валутно-курсови разлики,,,,514,1812
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,,,,149035,208138
Парични потоци,Постъпления от клиенти,,,,167039,217858
Парични потоци,Плащания към доставчици,,,,-132795,-187323
Парични потоци,"Данъци възстановени/(платени), нето",,,,-2105,16468
Парични потоци,Плащания към персонал и осигуряване,,,,-21110,-26857
Парични потоци,Нетни парични потоци от оперативна дейност,,,,5427,10384
Парични потоци,Капиталови разходи (CAPEX),,,,-7791,-8601
Парични потоци,Нетни парични потоци от инвестиционна дейност,,,,-3728,-7306
Парични потоци,Изплатени дивиденти,,,,-4590,-4603
Парични потоци,Нетни парични потоци от финансова дейност,,,,-5243,-1714
Парични потоци,Пари в началото на периода,,,,30778,27353
Парични потоци,Пари в края на периода,,,,27353,26766
